myot,myox,myoy,myoz,myost
myot,myox,myoy,myoz,myost
110384025,0.921875,-0.0859375,0.31543,1468766049752
110407113,0.924316,-0.0849609,0.321289,1468766049775
110428286,0.923828,-0.0854492,0.321289,1468766049796
110443953,0.916992,-0.0976562,0.297363,1468766049812
110467171,0.919434,-0.0869141,0.298828,1468766049835
110495663,0.923828,-0.0942383,0.294434,1468766049863
110503926,0.925293,-0.0839844,0.29834,1468766049872
110526417,0.922363,-0.0712891,0.30957,1468766049894
110548118,0.924805,-0.0942383,0.30957,1468766049916
110563914,0.914062,-0.115723,0.313477,1468766049932
110586392,0.911133,-0.097168,0.319824,1468766049954
110608177,0.927246,-0.0517578,0.304688,1468766049976
110623920,0.957031,-0.050293,0.296875,1468766049992
110646443,0.95752,-0.0649414,0.291016,1468766050014
110669639,0.945312,-0.0976562,0.307617,1468766050037
110684041,0.970215,-0.0600586,0.279785,1468766050052
110706652,0.944824,-0.272461,0.236816,1468766050074
110729673,1.02002,-0.182129,0.309082,1468766050097
110743936,0.987305,-0.0473633,0.221191,1468766050112
110766491,0.968262,-0.0410156,0.246094,1468766050134
110789658,0.94043,-0.0717773,0.293945,1468766050157
110803914,0.915527,-0.107422,0.266602,1468766050172
110826512,0.904297,-0.0908203,0.247559,1468766050194
110857058,0.919922,-0.112305,0.195312,1468766050225
110878111,0.95166,-0.12207,0.179688,1468766050246
110886416,0.939453,-0.116211,0.105469,1468766050254
110910039,0.942871,-0.0761719,0.120605,1468766050278
110938319,0.927734,-0.0878906,0.126953,1468766050306
110946653,0.918945,-0.118652,0.144043,1468766050314
110969695,0.930664,-0.127441,0.12207,1468766050337
110998268,0.963867,-0.117188,0.124023,1468766050366
111006568,0.964844,-0.100586,0.135742,1468766050374
111030897,0.950684,-0.111328,0.158691,1468766050399
111050792,0.957031,-0.109375,0.202148,1468766050419
111066522,0.954102,-0.115234,0.179199,1468766050434
111089640,0.962402,-0.0839844,0.241211,1468766050457
111112174,0.95166,-0.0825195,0.224121,1468766050480
111126628,0.969727,-0.0678711,0.224121,1468766050494
111149697,0.962402,-0.0776367,0.224121,1468766050517
111170853,0.960938,-0.0668945,0.212891,1468766050539
111186581,0.934082,-0.0820312,0.20459,1468766050554
111209632,0.941406,-0.0693359,0.208008,1468766050577
111230813,0.930176,-0.0756836,0.20459,1468766050599
111246510,0.932617,-0.0771484,0.216309,1468766050614
111269607,0.921875,-0.0615234,0.237305,1468766050637
111290650,0.938477,-0.0517578,0.277344,1468766050658
111306408,0.946777,-0.137695,0.200684,1468766050674
111337238,0.97998,-0.144531,0.0527344,1468766050705
111350871,0.998047,-0.158691,-0.0131836,1468766050719
111366656,1.00732,-0.163086,-0.0205078,1468766050734
111389711,1.00195,-0.139648,0.00585938,1468766050757
111410903,0.973633,-0.103027,0.0351562,1468766050779
111426489,0.938965,-0.0795898,0.0405273,1468766050794
111449672,0.922363,-0.0922852,0.0341797,1468766050817
111470707,0.917969,-0.128906,0.00927734,1468766050839
111486391,0.953125,-0.163574,0.00146484,1468766050854
111517121,0.97998,-0.172363,-0.00634766,1468766050885
111530657,1.0083,-0.138184,0.000976562,1468766050898
111546504,1.02832,-0.120605,0.0170898,1468766050914
111569058,1.04248,-0.152832,0.0307617,1468766050937
