myoTS,x,y,z
492133245528,-23.375,44.125,-17.1875
492133259987,-51.8125,59.4375,-21.5
492133283040,-84.25,72.6875,-24.125
492133305489,-84.875,83.9375,-24.75
492133326729,-66.1875,92.3125,-21.6875
492133343128,-39.875,102.875,-20.1875
492133365549,-20.125,113.062,-19.9375
492133394106,-20.1875,121.438,-16.5625
492133402972,-28.6875,128.125,-10.75
492133425538,-32.5625,135.688,-6.1875
492133446584,-28.4375,144.438,-3.6875
492133462986,-23.9375,151.312,-1.0625
492133485979,-26.0625,155.625,1.0625
492133514054,-27.6875,158.5,2.5
492133522996,-24.625,158.25,2.625
492133545520,-17.25,157.312,4.375
492133566593,-9.3125,153.5,2.375
492133582990,-10.4375,151.562,-1.375
492133605483,-12.5625,141.125,-7.9375
492133626602,-20.5,140.375,-8.9375
492133643045,-28,132.625,2.4375
492133672031,-42.625,129.5,8.4375
492133686593,-47.625,117,10.1875
492133703033,-50.0625,110.812,12.875
492133725533,-44.5625,103,16.25
492133746569,-36.8125,96.375,18.875
492133763043,-34.75,89,20.375
492133785466,-34.4375,80.25,21.875
492133806576,-29.25,70.8125,24.125
492133823024,-31.9375,61.875,26.5
492133845512,-32.5625,51.5625,29.0625
492133866587,-23.8125,41.5,27.875
492133883085,-22.5,32.3125,25
492133905498,-28.9375,28.25,22.1875
492133926601,-28.9375,24.8125,19.75
492133942427,-24,18.875,18.1875
492133965469,-18.25,14.625,17.0625
492133986598,-12.5,12.75,14.5
492134002394,-11.4375,12,11.375
492134009898,-10.4375,9.4375,7.1875
492134030950,-5.25,5.6875,3.5625
492134053433,2.875,2.875,0.75
492134069900,5.9375,1.5625,-2.9375
492134090941,3.125,-1.1875,-6.25
492134113387,-1,-4.0625,-8.375
492134135945,-4.625,-6.9375,-10.125
492134150940,-5.8125,-9.8125,-11.8125
492134173412,-4.0625,-12.75,-13.8125
492134188440,-2.25,-14.875,-14.5
492134210932,0.375,-16,-15.375
492134233415,7,-17.375,-18.375
492134249914,15.0625,-20.8125,-23.625
492134270936,18.4375,-25,-27
492134293442,17.9375,-28.375,-28.8125
492134309894,14.3125,-33,-29.375
492134330945,10.8125,-37.875,-28.3125
492134353376,8,-43.8125,-26.9375
492134369919,4.0625,-53.4375,-28
492134390907,1.4375,-64.8125,-28.125
492134413486,3.125,-69.6875,-27
492134437427,6.6875,-70.625,-25.875
492134450978,4.8125,-71.625,-24.3125
492134473477,-1,-78.4375,-23.0625
492134489920,-3.4375,-84.0625,-24.5
492134510970,11.4375,-86,-25.5625
492134533458,31.875,-87.625,-23.25
492134549905,35.9375,-93.9375,-16.5625
492134570959,25.4375,-103.375,-10.5625
492134596804,20.625,-107.75,-11.125
492134609905,33.4375,-105.562,-14.625
492134630941,45.6875,-106.312,-11.75
492134653442,39.875,-112.125,-5.6875
492134669930,20.25,-113.375,-3.125
492134690935,17.375,-109.375,-7.75
492134713479,34.75,-107.438,-10.6875
492134729895,43.5625,-109.812,-7.75
492134750946,39.625,-115.062,0
492134773450,27.8125,-118.375,-0.1875
492134789908,32.0625,-118.188,-4.5625
492134810949,48.125,-117.312,-3.5
492134833449,45.75,-117.312,5.375
492134849918,27.0625,-120,12.25
492134870919,7.3125,-124.125,12
492134893432,7.1875,-124.562,11.8125
492134909893,19.1875,-118.438,17.3125
492134930938,22.25,-110.125,25.1875
492134953447,13.9375,-103.312,27.8125
492134969902,10.5,-96.375,23.3125
492134990956,17.8125,-85.8125,19.5
492135013451,16.25,-77.6875,17.125
492135029907,2.125,-73.3125,17.8125
492135050937,-5.75,-62.625,17.25
492135073382,-5.9375,-47.875,14.625
492135091338,-9.875,-33.75,11
492135110983,-14.9375,-23.4375,11.5
492135133447,-15.5,-16.0625,15.25
492135151352,-12.0625,-12.5625,15.4375
492135170926,-13.3125,-10.6875,17.3125
492135193476,-16.25,-10.125,20
492135211340,-15.625,-10.625,23.0625
492135231039,-8.25,-12.5625,25.4375
492135253537,-3,-14.75,27.0625
492135271386,-2.375,-11.4375,25.9375
492135291042,-5.6875,-4,22.75
492135313502,-9,5.375,18.5
492135338926,-9.9375,11.5,14.4375
492135358546,-1.8125,13.0625,8.625
492135380950,2,10.6875,0.875
492135391395,1.4375,6.375,-2.5625
492135410979,1.6875,2.5,-0.125
492135433533,-1.125,-2.625,0.9375
492135451343,-2.3125,-5.3125,1.375
492135471026,0.6875,-4.8125,0.75
492135493494,-1.4375,-2.9375,1.4375
492135511416,-7.6875,-0.75,1.5625
492135531052,-7.5625,0.8125,0.625
492135553433,-3.125,1.625,-0.625
492135571341,-1.1875,1.75,-0.875
492135592432,-1.625,1.875,-0.75
492135616363,-1.125,0.8125,-1.1875
492135631396,-0.9375,-0.1875,-0.9375
492135651035,-1.6875,-0.4375,-0.0625
