myot,x,y,z
610459671475,-0.4375,-2.6875,0.625
610459687964,-1.25,-2.625,0.1875
610459708988,-0.6875,-1.8125,0.1875
610459731480,-0.125,-1,0.375
610459747931,-0.75,-1.0625,1.0625
610459768962,-1.5,-1.25,1.375
610459791457,-1.625,-1.5,1.375
610459807917,-1.1875,-1.8125,1.1875
610459828989,-0.4375,-2,0.875
610459851518,-0.875,-2.375,1.125
610459867891,-1.0625,-2.4375,1.125
610459888974,-1.5625,-2.5625,1.4375
610459911458,-0.75,-2.375,0.75
610459934004,-0.375,-1.625,0.125
610459948953,-1.3125,-0.9375,-0.375
610459971440,-1.625,-0.625,-0.3125
610459987923,-1,-0.8125,0
610460008997,-0.6875,-1.1875,0.125
610460032888,-1,-1.3125,0.3125
610460047265,-0.1875,-1.6875,0.5
610460068961,-0.1875,-1.4375,0.1875
610460091465,1.25,-0.875,0.125
610460107371,1.6875,-0.5,0.375
610460129007,1.625,-1.0625,0.4375
610460151601,1.1875,-1.1875,0.1875
610460167275,0.6875,-0.625,0.375
610460189038,1.0625,-0.1875,0.4375
610460211519,1.5,-0.6875,0.1875
610460227325,1.125,-0.9375,0.125
610460250421,0.4375,-0.5625,-0.3125
610460271448,-0.25,-0.0625,-0.5625
610460287244,0.1875,0.375,-0.4375
610460316445,-0.25,0.4375,0.25
610460331451,-0.8125,-0.25,0.625
610460347221,0,-0.5,0.375
610460370377,1,-0.375,-0.125
610460398998,0.5,-0.125,-0.5625
610460407290,-0.5,-0.0625,-0.125
610460430459,-1,-0.0625,0.3125
610460451461,-0.1875,-0.4375,0.6875
610460467246,0,-0.4375,0.75
610460490394,0.0625,-0.875,0.1875
610460511540,-0.625,-0.875,-0.1875
610460527269,-2,-0.875,-0.125
610460550470,-1.5,-0.875,-0.125
610460571513,-0.375,-0.1875,-0.3125
610460587253,-0.625,0.3125,-0.125
610460610391,-1.4375,-0.0625,-0.1875
610460631501,-1.375,-0.4375,-0.5
610460647271,-0.8125,-0.8125,-0.625
610460670416,-1.5,-0.625,-0.3125
610460691504,-1.25,-0.3125,-0.3125
610460707246,-1.0625,0.125,-0.6875
610460730421,-1.0625,-0.0625,-0.75
610460759010,-1.125,-0.5625,-0.8125
610460767291,-1.375,-0.5,-0.75
610460790483,-0.9375,-0.6875,-0.0625
610460811590,-0.5,-0.6875,-0.125
610460827282,-0.1875,-0.6875,-0.25
610460850512,-0.75,-0.5,-0.3125
610460873026,-1.125,-0.25,0.0625
610460887330,-0.5625,-0.0625,0.25
610460910478,0.1875,0.125,0.25
610460931504,0.125,0.1875,-0.1875
610460947260,-0.8125,0,-0.1875
610460969841,-0.6875,-0.1875,0.125
610460991476,0.5625,0.1875,0.3125
610461007279,0.625,0.1875,0.3125
610461029794,-0.375,-0.1875,0.125
610461051487,-0.6875,-0.5,-0.125
610461067291,0.1875,0.125,-0.1875
610461089775,0.875,0.3125,0.125
610461111562,0.3125,0.0625,0.1875
610461127304,-0.1875,-0.5,0.1875
610461149763,0.6875,-0.1875,-0.1875
610461173023,0.5,0.5,-0.4375
610461187325,0,0.8125,-0.4375
610461209849,0,0.4375,-0.125
610461232909,0.5625,-0.0625,0.125
610461247345,0.9375,0.1875,0.1875
610461269832,1.0625,0.375,0.125
610461293035,0.375,0.1875,-0.125
610461307290,0.5,-0.3125,-0.1875
610461329765,0.1875,-0.3125,0
610461352918,0.1875,0.4375,0.0625
610461367280,0.6875,1.1875,0.1875
610461389797,1.375,1.0625,-0.0625
610461412942,0.8125,0.6875,-0.0625
610461427256,0.4375,0.5,-0.25
610461449790,0.9375,0.75,-0.375
610461472916,0.5,1.1875,-0.1875
