myot,myox,myoy,myoz
1455129920,myox,myoy,myoz
284843821032,0.423828,-0.638672,0.633301
284843843550,0.419434,-0.613281,0.626953
284843866122,0.442383,-0.668457,0.644043
284843881102,0.47998,-0.723633,0.661133
284843903631,0.515137,-0.716309,0.614746
284843926089,0.480957,-0.701172,0.552734
284843941026,0.427734,-0.746094,0.510742
284843963616,0.406738,-0.777832,0.503418
284843986051,0.380371,-0.791016,0.512695
284844001158,0.399414,-0.75293,0.511719
284844025089,0.415527,-0.728027,0.516113
284844046107,0.395508,-0.717285,0.552246
284844061113,0.345703,-0.697266,0.578125
284844083602,0.315918,-0.673828,0.602051
284844106169,0.331543,-0.697266,0.634277
284844121118,0.314453,-0.702148,0.638184
284844143551,0.262695,-0.71582,0.632324
284844166063,0.238281,-0.709473,0.623047
284844189227,0.249512,-0.728516,0.644043
284844203535,0.251953,-0.728027,0.627441
284844226034,0.25293,-0.716309,0.628418
284844241041,0.247559,-0.677734,0.597656
284844263561,0.245117,-0.664062,0.595215
284844286140,0.25,-0.673828,0.607422
284844302495,0.264648,-0.686523,0.62207
284844323540,0.25293,-0.696289,0.627441
284844346056,0.248535,-0.705566,0.617676
284844361048,0.264648,-0.727051,0.626953
284844383676,0.277832,-0.76416,0.628906
284844400058,0.307129,-0.784668,0.622559
284844421203,0.289062,-0.804688,0.619141
284844443669,0.257812,-0.797852,0.608398
284844459976,0.239746,-0.810059,0.606445
284844482577,0.23584,-0.825195,0.604492
284844503613,0.245605,-0.813477,0.591797
284844534429,0.238281,-0.824707,0.594238
284844542521,0.206543,-0.841309,0.592285
284844563603,0.194336,-0.834473,0.590332
284844594264,0.187988,-0.825195,0.583496
284844602543,0.192383,-0.820801,0.577148
284844623546,0.206055,-0.779297,0.574707
284844646071,0.229004,-0.742188,0.57666
284844662506,0.219727,-0.790527,0.592285
284844683603,0.185059,-0.880371,0.620605
284844706093,0.158691,-0.859375,0.61084
284844722577,0.125488,-0.856934,0.553223
284844743615,0.0634766,-1.00293,0.57373
284844766138,-0.0532227,-1.08789,0.57959
284844782603,-0.0566406,-0.928223,0.614258
284844803655,-0.0537109,-0.838867,0.608398
284844826165,-0.078125,-0.90625,0.589844
284844842545,-0.0649414,-0.828125,0.568359
284844863646,-0.0390625,-0.73291,0.592773
284844886101,-0.0375977,-0.738281,0.601562
284844902541,-0.0410156,-0.76709,0.622559
284844923551,-0.0688477,-0.783691,0.574219
284844954243,-0.0839844,-0.762207,0.562988
284844977502,-0.0830078,-0.710449,0.592285
284844983648,-0.111328,-0.730957,0.558594
284845006089,-0.137695,-0.731934,0.543945
284845024000,-0.132812,-0.694824,0.501953
284845043559,-0.0927734,-0.70459,0.564453
284845066161,-0.106934,-0.796875,0.569824
284845090063,-0.11084,-0.791992,0.589355
284845106543,-0.125,-0.762207,0.59668
284845143615,-0.147949,-0.711914,0.543457
284845157524,-0.175781,-0.790039,0.519531
284845163662,-0.206055,-0.812988,0.583008
284845186027,-0.170898,-0.830566,0.625
284845208553,-0.205566,-0.817383,0.640625
284845223593,-0.259766,-0.826172,0.638672
284845246067,-0.262207,-0.741699,0.634766
284845262556,-0.282715,-0.740723,0.598145
284845283584,-0.273926,-0.741699,0.595215
284845306153,-0.258789,-0.704102,0.612305
284845324086,-0.296875,-0.742188,0.59082
284845343624,-0.273926,-0.742676,0.60791
284845366147,-0.275879,-0.756348,0.59668
284845382628,-0.288574,-0.724609,0.592773
284845411787,-0.316406,-0.73584,0.569336
284845420071,-0.314941,-0.760742,0.573242
284845442544,-0.303223,-0.773926,0.575684
284845465128,-0.27832,-0.748047,0.581055
284845486076,-0.322754,-0.79541,0.535156
284845502490,-0.28418,-0.785156,0.560547
284845525056,-0.303711,-0.786621,0.567871
284845541544,-0.324707,-0.77002,0.568359
284845562622,-0.348633,-0.771973,0.572754
