timestamp,x,y,z
10038774693,-27.875,71.875,-104.625
10038797139,-20.0625,86.625,-114.062
10038819686,-13.125,96.6875,-118.5
10038834655,-18.375,106.375,-126.75
10038857151,-35.0625,120.938,-146.875
10038879576,-53.25,133.812,-164.25
10038897630,-58.875,137.312,-175.562
10038917429,-63,131.938,-178.562
10038939899,-60.3125,123.938,-174.25
10038956175,-49.4375,119.5,-186.375
10038977252,-51.875,118.688,-184.438
10038999922,-45.1875,115.312,-178.5
10039016149,-30.75,108.5,-185.375
10039037344,-7.9375,103.25,-185.438
10039059861,22,97.4375,-174.5
10039076193,45.125,89.3125,-165.938
10039097340,44.1875,81.0625,-163.312
10039119663,31.75,79.625,-166.938
10039136117,26.1875,80.5625,-174.188
10039157149,25,78.9375,-177.938
10039179634,27.4375,73.75,-177.562
10039196192,34.6875,68.8125,-173.312
10039217361,38.9375,64.375,-173.562
10039239841,38.625,63.3125,-175.125
10039257612,30.875,64,-176.188
10039277274,29.875,64.125,-172
10039299885,29.8125,57.875,-169.875
10039317636,37.9375,55.5625,-162.688
10039337357,40.75,54.8125,-157.5
10039359671,34.8125,53.1875,-154.25
10039377629,29.625,50.5,-151.188
10039397432,31.8125,48.5625,-146.938
10039419677,26.8125,44.5,-142.562
10039437585,16.4375,40.375,-137.938
10039457173,-3.6875,34.8125,-129
10039479621,-23.875,31.3125,-116.375
10039497594,-28.9375,32.3125,-102.75
10039517373,-18.25,37.1875,-91.875
10039547237,-1.5,36.3125,-82.1875
10039557672,4.3125,27.0625,-67.6875
10039577404,0.625,19.25,-51.875
10039599873,-0.1875,15.0625,-39.125
10039617629,1.625,10.8125,-25.5625
10039637260,4,7.125,-13
10039659951,7.5625,4.0625,-2.1875
10039677628,3.9375,-1,8.4375
10039697308,1.8125,-5.8125,20.25
10039719802,2.375,-8.8125,32.125
10039737586,4.625,-12.6875,44.0625
10039757117,5.75,-16.4375,56.625
10039779732,6.375,-16.4375,68.125
10039797602,-1.9375,-18.25,76.0625
10039817179,-19.125,-21.4375,81.4375
10039839882,-24.1875,-26.5,90.0625
10039857576,-16.5625,-32.3125,99.625
10039878668,-10.875,-36.625,105.938
10039899870,-14.125,-39.9375,114.688
10039917674,-25.5,-44.625,127.875
10039938691,-38.1875,-45.1875,143.375
10039959912,-33.6875,-43.625,151.25
10039977629,-24.25,-41.4375,152.562
10039998710,-17.1875,-41.0625,151.875
10040019884,-17.5,-48.8125,163.812
10040037668,-30.1875,-56.5625,179.188
10040058668,-54.8125,-66.3125,181.188
10040079673,-72.3125,-76.5625,173.625
10040097587,-61.75,-87.25,178.125
10040118649,-39,-98.0625,185.375
10040139694,-25.4375,-99.25,193.188
10040157637,-25.125,-99.375,200.188
10040180175,-34.6875,-104.938,209.062
10040199898,-42.8125,-113.125,216.688
10040217657,-46.5,-123.5,221.188
10040240161,-44.25,-132.625,226.5
10040259903,-29.3125,-140.75,224.938
10040277632,-9.875,-145.5,222.562
10040300130,0.375,-158.312,220.562
10040319905,6.8125,-175,221.062
10040337668,-0.6875,-182.562,222.312
10040360088,-8.8125,-177.375,218.562
10040380338,-6.4375,-178,217.812
10040396745,7.3125,-176.625,210.375
10040419266,26.5,-165.938,197.875
10040440326,60.75,-139.688,173.688
10040456767,91.6875,-110.562,153.25
10040479374,92.375,-99.125,137.562
10040500534,60.75,-89.5,116.562
10040516878,21.8125,-79.0625,92.875
10040539319,-16.375,-72.3125,73.1875
10040560551,-31.625,-66.25,55.125
10040576880,-14.5,-55.4375,40.0625
10040599347,10.3125,-42.25,25.125
10040620514,27.375,-30.875,12.0625
10040636836,19.3125,-23.5,0.5625
10040659326,2.5,-12.6875,-11.125
10040680372,-3.1875,-1,-22.6875
10040696802,-2.625,9,-37.125
10040719265,12.625,22.125,-50
10040740348,15.1875,32.4375,-61.8125
10040757368,-4.3125,45.125,-81.25
10040779298,14.25,70.8125,-102.062
10040800525,46.8125,91.875,-112.625
10040816869,69.125,113,-126
10040839390,71.375,125.062,-142.625
10040860553,50.9375,130.375,-156.438
10040876825,26.8125,128.25,-164.875
10040899389,0.875,118.875,-171.375
10040920651,-12,112.875,-179.438
10040936180,-27.875,108.375,-187.375
10040959323,-39.875,108.562,-196.062
10040980384,-48.75,103.312,-197.812
10040996876,-49.5,96,-196
